,Adj Close
0,82.02999877929688
1,82.48999786376953
2,82.18000030517578
3,81.58000183105469
4,80.72000122070312
5,81.66000366210938
6,80.26000213623047
7,80.94000244140625
8,79.19000244140625
9,79.45999908447266
10,81.51000213623047
11,81.79000091552734
12,82.7699966430664
13,85.44000244140625
14,84.52999877929688
15,94.48999786376952
16,95.66999816894531
17,95.13999938964844
18,96.4800033569336
19,99.87999725341795
20,100.48999786376952
21,99.5
22,98.56999969482422
23,96.37000274658205
24,94.58000183105469
25,93.6500015258789
26,91.23999786376952
27,90.16000366210938
28,93.29000091552734
29,89.37000274658203
30,93.80999755859376
31,89.86000061035156
32,87.86000061035156
33,79.75
34,84.9800033569336
35,86.44999694824219
36,76.76000213623047
37,85.38999938964844
38,76.52999877929688
39,78.3499984741211
40,74.31999969482422
41,79.44999694824219
42,74.55000305175781
43,75.69999694824219
44,78.6500015258789
45,79.16999816894531
46,84.62999725341797
47,81.72000122070312
48,83.12000274658203
49,83.9000015258789
50,85.12999725341797
51,84.41000366210938
52,81.9800033569336
53,86.08999633789062
54,86.51000213623047
55,86.8499984741211
56,85.9000015258789
57,86.16999816894531
58,89.62000274658203
59,88.54000091552734
60,90.2699966430664
61,90.98999786376952
Prediction,"    Unnamed: 0  Adj Close
0         30.0  93.809998
1         31.0  89.860001
2         32.0  87.860001
3         33.0  79.750000
4         34.0  84.980003
..         ...        ...
57         NaN        NaN
58         NaN        NaN
59         NaN        NaN
60         NaN        NaN
61         NaN        NaN

[62 rows x 2 columns]"
